ram,storage,display_size,battery,quick_charge,ppi_density,os_type,display_type,camera,chipset,5g,refresh_rate,price,phone_model,ProductID,os_encoded,display_type_encoded,price_diff
12,1024,6.67,5000,1.0,446.0,android,amoled,50,4,1,144.0,37999,Xiaomi 14T Pro 12 GB RAM 1024 GB,963408,1,2.92,19681.357421875
12,256,6.7,4900,1.0,513.0,android,dynamic amoled,50,4,1,120.0,37245,Samsung Galaxy S24+ 12 GB RAM 256 GB,899623,1,6.04,18927.357421875
12,512,6.67,6000,1.0,526.0,android,amoled,50,4,1,120.0,35999,Poco F7 Pro 12 GB RAM 512 GB,1001486,1,2.92,17681.357421875
16,512,6.78,5500,1.0,450.0,android,amoled,50,4,1,120.0,35899,realme GT 6 16 GB RAM 512 GB,945305,1,2.92,17581.357421875
16,256,6.7,5000,1.0,525.0,android,amoled,50,4,1,120.0,39300,OnePlus 11 16 GB RAM 256 GB,841686,1,2.92,20982.357421875
12,512,6.83,5800,1.0,450.0,android,amoled,50,4,1,120.0,38449,Oppo Reno 13 Pro 5G 12 GB RAM 512 GB,973688,1,2.92,20131.357421875
8,256,6.2,4000,1.0,418.0,android,dynamic amoled,50,4,1,120.0,35150,Samsung Galaxy S24 8 GB RAM 256 GB,920040,1,6.04,16832.357421875
16,256,6.78,5500,1.0,450.0,android,amoled,50,4,1,120.0,33998,OnePlus 12R 16 GB RAM 256 GB,920916,1,2.92,15680.357421875
8,256,6.6,4700,1.0,393.0,android,dynamic amoled,50,4,1,120.0,35280,Samsung Galaxy S23+ 8 GB RAM 256 GB,846314,1,6.04,16962.357421875
8,128,6.2,4000,1.0,418.0,android,dynamic amoled,50,4,1,120.0,34999,Samsung Galaxy S24 8 GB RAM 128 GB,899613,1,6.04,16681.357421875
8,256,6.1,3900,1.0,425.0,android,dynamic amoled,50,4,1,120.0,36766,Samsung Galaxy S23 8 GB RAM 256 GB,849760,1,6.04,18448.357421875
12,512,6.67,5000,1.0,526.0,android,amoled,50,4,1,120.0,36999,Poco F6 Pro 12 GB RAM 512 GB,940912,1,2.92,18681.357421875
12,256,6.6,4900,1.0,460.0,android,oled,50,7,0,120.0,37999,Huawei Pura 70 12 GB RAM 256 GB,934779,1,8.02,19681.357421875
8,256,6.9,4720,1.0,413.0,android,amoled,50,6,1,120.0,35849,Tecno Phantom V Flip2 8 GB RAM 256 GB,961043,1,2.92,17531.357421875
12,512,6.7,6000,1.0,460.0,android,amoled,200,4,1,120.0,35998,Honor 400 Pro 12 GB RAM 512 GB,1007343,1,2.92,17680.357421875
